iter	Passed	Remaining
0	3	334
1	5	290
2	8	286
3	11	271
4	14	268
5	16	264
6	19	258
7	22	255
8	24	249
9	27	247
10	29	240
11	32	238
12	35	235
13	38	233
14	40	229
15	42	225
16	45	222
17	47	218
18	50	216
19	53	213
20	56	212
21	58	208
22	61	204
23	63	202
24	66	198
25	68	195
26	71	193
27	74	190
28	76	186
29	78	183
30	81	180
31	83	177
32	85	174
33	88	171
34	91	169
35	93	166
36	95	163
37	98	161
38	101	158
39	103	155
40	106	153
41	109	151
42	112	148
43	114	146
44	117	143
45	120	141
46	122	138
47	125	135
48	127	133
49	130	130
50	133	127
51	135	125
52	138	122
53	140	120
54	144	117
55	146	115
56	149	112
57	152	110
58	154	107
59	157	104
60	159	102
61	162	99
62	164	96
63	167	94
64	170	91
65	172	89
66	175	86
67	178	83
68	180	81
69	182	78
70	185	75
71	187	73
72	190	70
73	192	67
74	195	65
75	198	62
76	200	60
77	204	57
78	206	54
79	209	52
80	211	49
81	214	47
82	217	44
83	220	41
84	222	39
85	225	36
86	227	34
87	230	31
88	232	28
89	235	26
90	238	23
91	240	20
92	243	18
93	246	15
94	248	13
95	251	10
96	253	7
97	256	5
98	258	2
99	260	0
